Name	C_inv	C_maint	C_op
PV	575.449610	136.162851	0.000000
TRAFO_ML	0.000000	0.000000	0.000000
TRAFO_LM	0.000000	0.000000	0.000000
WIND_ONSHORE	407.572702	113.845000	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
TRAFO_HM	0.000000	0.000000	0.000000
TRAFO_MH	0.000000	0.000000	0.000000
CCGT	97.095319	50.952056	0.000000
CCGT_AMMONIA	0.000039	0.000020	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
TRAFO_EH	0.000000	0.000000	0.000000
WIND_OFFSHORE	1011.403037	168.995325	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
TRAFO_HE	0.000000	0.000000	0.000000
NUCLEAR	0.000000	0.000000	0.000000
IND_COGEN_GAS	156.301862	208.167850	0.000000
IND_COGEN_WOOD	0.000042	0.000032	0.000000
IND_COGEN_WASTE	0.000065	0.000049	0.000000
IND_BOILER_GAS	1.994196	0.595631	0.000000
IND_BOILER_WOOD	0.000072	0.000021	0.000000
IND_BOILER_OIL	0.000036	0.000012	0.000000
IND_BOILER_COAL	28.484222	8.492619	0.000000
IND_BOILER_WASTE	17.816823	5.312116	0.000000
IND_DIRECT_ELEC	25.855728	1.565056	0.000000
DHN_HP_ELEC	101.116729	71.042709	0.000000
DHN_COGEN_GAS	0.979526	0.593392	0.000000
DHN_COGEN_WOOD	0.000031	0.000024	0.000000
DHN_COGEN_WASTE	0.000044	0.000034	0.000000
DHN_COGEN_WET_BIOMASS	0.000064	0.000108	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000202	0.000132	0.000000
DHN_BOILER_GAS	0.000009	0.000003	0.000000
DHN_BOILER_WOOD	0.000015	0.000004	0.000000
DHN_BOILER_OIL	0.000008	0.000002	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000023	0.000001	0.000000
DEC_HP_ELEC	0.001011	0.000661	0.000000
DEC_THHP_GAS	306.754006	153.924289	0.000000
DEC_COGEN_GAS	0.000868	0.000958	0.000000
DEC_COGEN_OIL	0.000065	0.000068	0.000000
DEC_ADVCOGEN_GAS	163.873492	52.433010	0.000000
DEC_ADVCOGEN_H2	0.000099	0.000032	0.000000
DEC_BOILER_GAS	0.000066	0.000030	0.000000
DEC_BOILER_WOOD	0.000071	0.000037	0.000000
DEC_BOILER_OIL	0.000050	0.000044	0.000000
DEC_SOLAR	0.000617	0.000118	0.000000
DEC_DIRECT_ELEC	0.000077	0.000005	0.000000
TRAMWAY_TROLLEY	207.241627	99.541627	0.000000
BUS_COACH_DIESEL	0.000037	0.000024	0.000000
BUS_COACH_HYDIESEL	0.000022	0.000011	0.000000
BUS_COACH_CNG_STOICH	1009.022903	655.120107	0.000000
BUS_COACH_FC_HYBRIDH2	0.000007	0.000003	0.000000
TRAIN_PUB	0.000015	0.000017	0.000000
CAR_GASOLINE	0.000015	0.000008	0.000000
CAR_DIESEL	0.000009	0.000004	0.000000
CAR_NG	0.000016	0.000008	0.000000
CAR_METHANOL	0.000006	0.000003	0.000000
CAR_HEV	0.000008	0.000006	0.000000
CAR_PHEV	0.003103	0.002108	0.000000
CAR_BEV	7957.105940	1769.645730	0.000000
CAR_FUEL_CELL	0.000029	0.000005	0.000000
TRAIN_FREIGHT	26.982708	16.143514	0.000000
BOAT_FREIGHT_DIESEL	0.000040	0.000058	0.000000
BOAT_FREIGHT_NG	73.023237	106.289996	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000069	0.000045	0.000000
TRUCK_METHANOL	0.000004	0.000002	0.000000
TRUCK_FUEL_CELL	0.001454	0.000578	0.000000
TRUCK_ELEC	0.000003	0.000001	0.000000
TRUCK_NG	1470.906056	955.011598	0.000000
HABER_BOSCH	0.000054	0.000018	0.000000
SYN_METHANOLATION	0.000074	0.000036	0.000000
METHANE_TO_METHANOL	0.000080	0.000073	0.000000
BIOMASS_TO_METHANOL	175.036318	45.911789	0.000000
OIL_TO_HVC	100.403242	7.122552	0.000000
GAS_TO_HVC	0.000042	0.000022	0.000000
BIOMASS_TO_HVC	0.000136	0.000070	0.000000
METHANOL_TO_HVC	46.053554	71.160547	0.000000
PHS	10.919594	0.000000	0.000000
BATT_LI	0.000233	0.000005	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000147	0.000018	0.000000
TS_DEC_HP_ELEC	0.000191	0.000023	0.000000
TS_DEC_THHP_GAS	24.839563	2.985455	0.000000
TS_DEC_COGEN_GAS	0.000149	0.000018	0.000000
TS_DEC_COGEN_OIL	0.000145	0.000017	0.000000
TS_DEC_ADVCOGEN_GAS	2.184559	0.262561	0.000000
TS_DEC_ADVCOGEN_H2	0.000145	0.000017	0.000000
TS_DEC_BOILER_GAS	0.000145	0.000017	0.000000
TS_DEC_BOILER_WOOD	0.000145	0.000017	0.000000
TS_DEC_BOILER_OIL	0.000145	0.000017	0.000000
TS_DHN_DAILY	0.000157	0.000013	0.000000
TS_DHN_SEASONAL	16.678421	1.880700	0.000000
TS_HIGH_TEMP	1.202010	0.266556	0.000000
GAS_STORAGE	0.000915	0.000839	0.000000
H2_STORAGE	0.001053	0.001139	0.000000
DIESEL_STORAGE	0.001010	0.000693	0.000000
GASOLINE_STORAGE	0.001016	0.000698	0.000000
LFO_STORAGE	0.001016	0.000698	0.000000
AMMONIA_STORAGE	0.001013	0.000696	0.000000
METHANOL_STORAGE	0.001030	0.000707	0.000000
CO2_STORAGE	0.001883	0.000452	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
DHN	151.308844	0.000000	0.000000
H2_ELECTROLYSIS	0.000077	0.000028	0.000000
SMR	0.000031	0.000059	0.000000
H2_BIOMASS	0.000030	0.000044	0.000000
GASIFICATION_SNG	0.000037	0.000053	0.000000
SYN_METHANATION	0.000007	0.000054	0.000000
BIOMETHANATION	0.000262	0.000062	0.000000
BIO_HYDROLYSIS	243.905274	221.894388	0.000000
PYROLYSIS_TO_LFO	0.000045	0.000043	0.000000
PYROLYSIS_TO_FUELS	0.000037	0.000022	0.000000
ATM_CCS	0.000039	0.000029	0.000000
INDUSTRY_CCS	0.000046	0.000034	0.000000
AMMONIA_TO_H2	0.000022	0.000041	0.000000
EHV_GRID	0.000000	0.000000	0.000000
HV_GRID	0.000000	0.000000	0.000000
MV_GRID	0.000000	0.000000	0.000000
LV_GRID	0.000000	0.000000	0.000000
EHP_H2_GRID	0.000000	0.000000	0.000000
HP_H2_GRID	0.000000	0.000000	0.000000
MP_H2_GRID	0.000000	0.000000	0.000000
