Name	GWP_constr	GWP_op
PV	1553.616513	0.000000
TRAFO_ML	0.000000	0.000000
TRAFO_LM	0.000000	0.000000
WIND_ONSHORE	207.616667	0.000000
GEOTHERMAL	0.000000	0.000000
TRAFO_HM	0.000000	0.000000
TRAFO_MH	0.000000	0.000000
CCGT	19.696860	0.000000
CCGT_AMMONIA	0.000008	0.000000
COAL_IGCC	0.000000	0.000000
COAL_US	0.000000	0.000000
TRAFO_EH	0.000000	0.000000
WIND_OFFSHORE	108.375844	0.000000
HYDRO_RIVER	3.630607	0.000000
TRAFO_HE	0.000000	0.000000
NUCLEAR	0.000000	0.000000
IND_COGEN_GAS	101.306290	0.000000
IND_COGEN_WOOD	0.000006	0.000000
IND_COGEN_WASTE	0.000013	0.000000
IND_BOILER_GAS	0.365845	0.000000
IND_BOILER_WOOD	0.000016	0.000000
IND_BOILER_OIL	0.000007	0.000000
IND_BOILER_COAL	10.448509	0.000000
IND_BOILER_WASTE	3.916158	0.000000
IND_DIRECT_ELEC	0.101733	0.000000
DHN_HP_ELEC	46.095086	0.000000
DHN_COGEN_GAS	0.341486	0.000000
DHN_COGEN_WOOD	0.000004	0.000000
DHN_COGEN_WASTE	0.000009	0.000000
DHN_COGEN_WET_BIOMASS	0.000042	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000028	0.000000
DHN_BOILER_GAS	0.000002	0.000000
DHN_BOILER_WOOD	0.000003	0.000000
DHN_BOILER_OIL	0.000002	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000012	0.000000
DEC_HP_ELEC	0.000320	0.000000
DEC_THHP_GAS	345.634228	0.000000
DEC_COGEN_GAS	0.000583	0.000000
DEC_COGEN_OIL	0.000047	0.000000
DEC_ADVCOGEN_GAS	54.588477	0.000000
DEC_ADVCOGEN_H2	0.000033	0.000000
DEC_BOILER_GAS	0.000008	0.000000
DEC_BOILER_WOOD	0.000003	0.000000
DEC_BOILER_OIL	0.000006	0.000000
DEC_SOLAR	0.000170	0.000000
