Td 	 Time	ELECTRICITY_LV	ELECTRICITY_MV	ELECTRICITY_HV	ELECTRICITY_EHV	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG_LP	NG_MP	NG_HP	NG_EHP	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2_LP	H2_MP	H2_HP	H2_EHP	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PV	TRAFO_ML	TRAFO_LM	WIND_ONSHORE	GEOTHERMAL	TRAFO_HM	TRAFO_MH	CCGT	CCGT_AMMONIA	COAL_IGCC	COAL_US	TRAFO_EH	WIND_OFFSHORE	HYDRO_RIVER	TRAFO_HE	NUCLEAR	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	EHV_GRID	HV_GRID	MV_GRID	LV_GRID	EHP_H2_GRID	HP_H2_GRID	MP_H2_GRID	LP_H2_GRID	EHP_NG_GRID	HP_NG_GRID	MP_NG_GRID	LP_NG_GRID	NG_EXP_EH	NG_EXP_HM	NG_EXP_ML	NG_EXP_EH_COGEN	NG_EXP_HM_COGEN	NG_EXP_ML_COGEN	NG_COMP_HE	NG_COMP_MH	NG_COMP_LM	H2_EXP_EH	H2_EXP_HM	H2_EXP_ML	H2_EXP_EH_COGEN	H2_EXP_HM_COGEN	H2_EXP_ML_COGEN	H2_COMP_HE	H2_COMP_MH	H2_COMP_LM	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																									0.000000		1.205643																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003348	0.003449					-1.205745	
 1 	 2																									0.000000		1.205767																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003409	0.003387					-1.205745	
 1 	 3																									0.000000		1.205715																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003384	0.003413					-1.205745	
 1 	 4																									0.000000		1.205693																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003373	0.003424					-1.205745	
 1 	 5																									0.000000		1.205730																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003391	0.003406					-1.205745	
 1 	 6																									0.000000		1.205742																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003397	0.003400					-1.205745	
 1 	 7																									0.000000		1.205715																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003383	0.003414					-1.205745	
 1 	 8																									0.000000		1.205715																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003384	0.003413					-1.205745	
 1 	 9																									0.000000		1.205718																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003385	0.003412					-1.205745	
 1 	 10																									0.000000		1.205716																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003384	0.003413					-1.205745	
 1 	 11																									0.000000		1.205717																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003385	0.003412					-1.205745	
 1 	 12																									0.000000		1.205721																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003387	0.003410					-1.205745	
 1 	 13																									0.000000		1.205715																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003384	0.003413					-1.205745	
 1 	 14																									0.000000		1.205714																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003383	0.003414					-1.205745	
 1 	 15																									0.000000		1.205720																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003386	0.003411					-1.205745	
 1 	 16																									0.000000		1.205718																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003385	0.003412					-1.205745	
 1 	 17																									0.000000		1.205715																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003384	0.003413					-1.205745	
 1 	 18																									0.000000		1.205719																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003386	0.003411					-1.205745	
 1 	 19																									0.000000		1.205744																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003398	0.003399					-1.205745	
 1 	 20																									0.000000		1.205732																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003392	0.003405					-1.205745	
 1 	 21																									0.000000		1.205755																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003404	0.003394					-1.205745	
 1 	 22																									0.000000		1.205716																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003384	0.003413					-1.205745	
 1 	 23																									0.000000		1.205703																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003378	0.003419					-1.205745	
 1 	 24																									0.000000		1.205658																			-0.000000																																																														0.000000																					-0.000000																																																																											-0.003355	0.003442					-1.205745	
 2 	 1																									0.000000		1.205806																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003460	0.003399					-1.205745	
 2 	 2																									0.000000		1.205807																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003461	0.003399					-1.205745	
 2 	 3																									0.000000		1.205791																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003452	0.003406					-1.205745	
 2 	 4																									0.000000		1.205804																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003459	0.003400					-1.205745	
 2 	 5																									0.000000		1.205805																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003459	0.003399					-1.205745	
 2 	 6																									0.000000		1.205807																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003460	0.003398					-1.205745	
 2 	 7																									0.000000		1.205808																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003461	0.003398					-1.205745	
 2 	 8																									0.000000		1.205809																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003461	0.003397					-1.205745	
 2 	 9																									0.000000		1.205809																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003461	0.003398					-1.205745	
 2 	 10																									0.000000		1.205808																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003461	0.003398					-1.205745	
 2 	 11																									0.000000		1.205809																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003461	0.003398					-1.205745	
 2 	 12																									0.000000		1.205813																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003463	0.003395					-1.205745	
 2 	 13																									0.000000		1.205809																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003461	0.003397					-1.205745	
 2 	 14																									0.000000		1.205809																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003461	0.003397					-1.205745	
 2 	 15																									0.000000		1.205814																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003464	0.003395					-1.205745	
 2 	 16																									0.000000		1.205813																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003463	0.003395					-1.205745	
 2 	 17																									0.000000		1.205812																			-0.000001																																																														0.000001																					-0.000000																																																																											-0.003463	0.003396					-1.205745	
