Td 	 Time	ELECTRICITY_LV	ELECTRICITY_MV	ELECTRICITY_HV	ELECTRICITY_EHV	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG_LP	NG_MP	NG_HP	NG_EHP	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2_LP	H2_MP	H2_HP	H2_EHP	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PV	TRAFO_ML	TRAFO_LM	WIND_ONSHORE	GEOTHERMAL	TRAFO_HM	TRAFO_MH	CCGT	CCGT_AMMONIA	COAL_IGCC	COAL_US	TRAFO_EH	WIND_OFFSHORE	HYDRO_RIVER	TRAFO_HE	NUCLEAR	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	EHV_GRID	HV_GRID	MV_GRID	LV_GRID	EHP_H2_GRID	HP_H2_GRID	MP_H2_GRID	LP_H2_GRID	EHP_NG_GRID	HP_NG_GRID	MP_NG_GRID	LP_NG_GRID	NG_EXP_EH	NG_EXP_HM	NG_EXP_ML	NG_EXP_EH_COGEN	NG_EXP_HM_COGEN	NG_EXP_ML_COGEN	NG_COMP_HE	NG_COMP_MH	NG_COMP_LM	H2_EXP_EH	H2_EXP_HM	H2_EXP_ML	H2_EXP_EH_COGEN	H2_EXP_HM_COGEN	H2_EXP_ML_COGEN	H2_COMP_HE	H2_COMP_MH	H2_COMP_LM	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																	3.360608																																											-3.360608																																																																																																																																																						0.000000	
 1 	 2																	3.356998																																											-3.356998																																																																																																																																																						0.000000	
 1 	 3																	3.639710																																											-3.639710																																																																																																																																																						0.000000	
 1 	 4																	3.637721																																											-3.637721																																																																																																																																																						0.000000	
 1 	 5																	3.634534																																											-3.634534																																																																																																																																																						0.000000	
 1 	 6																	3.887480																																											-3.887480																																																																																																																																																						0.000000	
 1 	 7																	3.887632																																											-3.887632																																																																																																																																																						0.000000	
 1 	 8																	4.495885																																											-4.495885																																																																																																																																																						0.000000	
 1 	 9																	4.495896																																											-4.495896																																																																																																																																																						0.000000	
 1 	 10																	4.495894																																											-4.495894																																																																																																																																																						0.000000	
 1 	 11																	4.495891																																											-4.495891																																																																																																																																																						0.000000	
 1 	 12																	4.495886																																											-4.495886																																																																																																																																																						0.000000	
 1 	 13																	4.495879																																											-4.495879																																																																																																																																																						0.000000	
 1 	 14																	4.184488																																											-4.184488																																																																																																																																																						0.000000	
 1 	 15																	3.856473																																											-3.856473																																																																																																																																																						0.000000	
 1 	 16																	3.977336																																											-3.977336																																																																																																																																																						0.000000	
 1 	 17																	4.021608																																											-4.021608																																																																																																																																																						0.000000	
 1 	 18																	3.519986																																											-3.519986																																																																																																																																																						0.000000	
 1 	 19																	3.636376																																											-3.636376																																																																																																																																																						0.000000	
 1 	 20																	3.677576																																											-3.677576																																																																																																																																																						0.000000	
 1 	 21																	3.807817																																											-3.807817																																																																																																																																																						0.000000	
 1 	 22																	3.636684																																											-3.636684																																																																																																																																																						0.000000	
 1 	 23																	3.889202																																											-3.889202																																																																																																																																																						0.000000	
 1 	 24																	3.887586																																											-3.887586																																																																																																																																																						0.000000	
 2 	 1																	3.136626																																											-3.136626																																																																																																																																																						0.000000	
 2 	 2																	3.137961																																											-3.137961																																																																																																																																																						0.000000	
 2 	 3																	3.481182																																											-3.481182																																																																																																																																																						0.000000	
 2 	 4																	3.482994																																											-3.482994																																																																																																																																																						0.000000	
 2 	 5																	3.483091																																											-3.483091																																																																																																																																																						0.000000	
 2 	 6																	3.483176																																											-3.483176																																																																																																																																																						0.000000	
 2 	 7																	3.483274																																											-3.483274																																																																																																																																																						0.000000	
 2 	 8																	3.482955																																											-3.482955																																																																																																																																																						0.000000	
 2 	 9																	3.483084																																											-3.483084																																																																																																																																																						0.000000	
 2 	 10																	3.483111																																											-3.483111																																																																																																																																																						0.000000	
 2 	 11																	3.483145																																											-3.483145																																																																																																																																																						0.000000	
 2 	 12																	3.483129																																											-3.483129																																																																																																																																																						0.000000	
 2 	 13																	3.483179																																											-3.483179																																																																																																																																																						0.000000	
 2 	 14																	3.483213																																											-3.483213																																																																																																																																																						0.000000	
 2 	 15																	3.483242																																											-3.483242																																																																																																																																																						0.000000	
 2 	 16																	3.483323																																											-3.483323																																																																																																																																																						0.000000	
 2 	 17																	3.483391																																											-3.483391																																																																																																																																																						0.000000	
 2 	 18																	3.483463																																											-3.483463																																																																																																																																																						0.000000	
 2 	 19																	3.483413																																											-3.483413																																																																																																																																																						0.000000	
 2 	 20																	3.483297																																											-3.483297																																																																																																																																																						0.000000	
 2 	 21																	3.482682																																											-3.482682																																																																																																																																																						0.000000	
 2 	 22																	3.483118																																											-3.483118																																																																																																																																																						0.000000	
 2 	 23																	3.801914																																											-3.801914																																																																																																																																																						0.000000	
 2 	 24																	3.802853																																											-3.802853																																																																																																																																																						0.000000	
 3 	 1																	3.230636																																											-3.230636																																																																																																																																																						0.000000	
 3 	 2																	3.230093																																											-3.230093																																																																																																																																																						0.000000	
 3 	 3																	3.550594																																											-3.550594																																																																																																																																																						0.000000	
 3 	 4																	3.549644																																											-3.549644																																																																																																																																																						0.000000	
 3 	 5																	3.549483																																											-3.549483																																																																																																																																																						0.000000	
 3 	 6																	3.549600																																											-3.549600																																																																																																																																																						0.000000	
 3 	 7																	3.548631																																											-3.548631																																																																																																																																																						0.000000	
 3 	 8																	3.549145																																											-3.549145																																																																																																																																																						0.000000	
 3 	 9																	3.549181																																											-3.549181																																																																																																																																																						0.000000	
 3 	 10																	3.548796																																											-3.548796																																																																																																																																																						0.000000	
 3 	 11																	3.548607																																											-3.548607																																																																																																																																																						0.000000	
 3 	 12																	3.548405																																											-3.548405																																																																																																																																																						0.000000	
 3 	 13																	3.548386																																											-3.548386																																																																																																																																																						0.000000	
 3 	 14																	3.548276																																											-3.548276																																																																																																																																																						0.000000	
 3 	 15																	3.548067																																											-3.548067																																																																																																																																																						0.000000	
 3 	 16																	3.547925																																											-3.547925																																																																																																																																																						0.000000	
 3 	 17																	3.547810																																											-3.547810																																																																																																																																																						0.000000	
 3 	 18																	3.547913																																											-3.547913																																																																																																																																																						0.000000	
 3 	 19																	3.548184																																											-3.548184																																																																																																																																																						0.000000	
 3 	 20																	3.547673																																											-3.547673																																																																																																																																																						0.000000	
 3 	 21																	3.547360																																											-3.547360																																																																																																																																																						0.000000	
 3 	 22																	3.546611																																											-3.546611																																																																																																																																																						0.000000	
 3 	 23																	3.839454																																											-3.839454																																																																																																																																																						0.000000	
