Td 	 Time	ELECTRICITY_LV	ELECTRICITY_MV	ELECTRICITY_HV	ELECTRICITY_EHV	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG_LP	NG_MP	NG_HP	NG_EHP	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2_LP	H2_MP	H2_HP	H2_EHP	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PV	TRAFO_ML	TRAFO_LM	WIND_ONSHORE	GEOTHERMAL	TRAFO_HM	TRAFO_MH	CCGT	CCGT_AMMONIA	COAL_IGCC	COAL_US	TRAFO_EH	WIND_OFFSHORE	HYDRO_RIVER	TRAFO_HE	NUCLEAR	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	EHV_GRID	HV_GRID	MV_GRID	LV_GRID	EHP_H2_GRID	HP_H2_GRID	MP_H2_GRID	LP_H2_GRID	EHP_NG_GRID	HP_NG_GRID	MP_NG_GRID	LP_NG_GRID	NG_EXP_EH	NG_EXP_HM	NG_EXP_ML	NG_EXP_EH_COGEN	NG_EXP_HM_COGEN	NG_EXP_ML_COGEN	NG_COMP_HE	NG_COMP_MH	NG_COMP_LM	H2_EXP_EH	H2_EXP_HM	H2_EXP_ML	H2_EXP_EH_COGEN	H2_EXP_HM_COGEN	H2_EXP_ML_COGEN	H2_COMP_HE	H2_COMP_MH	H2_COMP_LM	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1			0.000000																																										1.686951	0.000000				0.623620	0.047363											-0.000000																							-0.007882																																	-0.000000						0.208970																																				-0.000000	1.363653																																																	-3.922674	
 1 	 2			0.000000																																										2.506058	0.000000				0.826204	0.047363											-0.000000																							-0.003156																																	-0.000000						0.208970																																				-0.000000	0.337235																																																	-3.922674	
 1 	 3			0.000000																																										2.642231	0.000000				0.988005	0.047363											-0.000000																							-0.001571																																	-0.000000						0.208970																																				-0.000000	0.037676																																																	-3.922674	
 1 	 4			0.000000																																										2.653897	0.000000				1.004917	0.047359											-0.000000																							-0.018933																																	-0.000000						0.208970																																				-0.000000	0.026465																																																	-3.922674	
 1 	 5			0.000000																																										2.671439	0.000000				0.986770	0.047359											-0.000000																							-0.050488																																	-0.000000						0.208970																																				-0.000000	0.058624																																																	-3.922674	
 1 	 6			0.000000																																										2.675603	0.000000				0.961284	0.047359											-0.000000																							-0.126221																																	-0.000000						0.208970																																				-0.000000	0.155679																																																	-3.922674	
 1 	 7			0.000000																																										2.676239	0.000000				0.681528	0.047359											-0.000000																							-0.244520																																	-0.000000						0.208970																																				-0.000000	0.553098																																																	-3.922674	
 1 	 8			0.000001																																										2.676446	0.000000				0.729080	0.047355											-0.000000																							-0.212969																																	-0.000000						0.208970																																				-0.000000	0.473791																																																	-3.922674	
 1 	 9			0.000000																																										2.676453	0.000000				0.857842	0.047355											-0.000000																							-0.197194																																	-0.000000						0.208970																																				-0.000000	0.329248																																																	-3.922674	
 1 	 10			0.000000																																										2.676243	0.000000				1.007221	0.047355											-0.000000																							-0.220857																																	-0.000000						0.208970																																				-0.000000	0.203743																																																	-3.922674	
 1 	 11			0.000000																																										2.675990	0.000000				0.992257	0.047355											-0.000000																							-0.252407																																	-0.000000						0.208970																																				-0.000000	0.250510																																																	-3.922674	
 1 	 12			0.000000																																										2.432487	0.000000				1.504430	0.047353											-0.000000																							-0.277649																																	-0.000000						0.208970																																				-0.000000	0.007084																																																	-3.922674	
 1 	 13			0.000000																																										1.830030	0.000000				2.078835	0.047353											-0.000000																							-0.252407																																	-0.000000						0.208970																																				-0.000000	0.009894																																																	-3.922674	
 1 	 14			0.000000																																										1.506114	0.000000				2.393721	0.047353											-0.000000																							-0.255563																																	-0.000000						0.208970																																				-0.000000	0.022080																																																	-3.922674	
 1 	 15			0.000000																																										0.854986	0.000000				2.892284	0.047353											-0.000000																							-0.287114																																	-0.000000						0.208970																																				-0.000000	0.206196																																																	-3.922674	
 1 	 16			0.000000																																										0.000000	0.000000				4.004633	0.047349											-0.000000																							-0.299735																																	-0.000001						0.173671																																				-0.003244	0.000000																																																	-3.922674	
 1 	 17			0.000000																																										0.000000	0.000000				4.956178	0.047349											-0.000001																							-0.299735																																	-0.000001						0.002680																																				-0.783798	0.000000																																																	-3.922674	
 1 	 18			0.000000																																										0.000000	0.000000				5.619631	0.047349											-0.178004																							-0.220857																																	-0.000002						0.000000																																				-1.345443	0.000000																																																	-3.922674	
 1 	 19			0.000000																																										0.000000	0.000000				4.765399	0.047349											-0.000001																							-0.157755																																	-0.000001						0.002402																																				-0.734719	0.000000																																																	-3.922674	
 1 	 20			0.000000																																										0.000000	0.000000				4.779033	0.047346											-0.000002																							-0.118299																																	-0.000001						0.002503																																				-0.787907	0.000000																																																	-3.922674	
 1 	 21			0.000000																																										0.000000	0.000000				4.694831	0.047346											-0.000000																							-0.078821																																	-0.000001						0.002721																																				-0.743402	0.000000																																																	-3.922674	
 1 	 22			0.000000																																										0.000000	0.000000				4.582220	0.047346											-0.000000																							-0.050488																																	-0.000001						0.003097																																				-0.659501	0.000000																																																	-3.922674	
 1 	 23			0.000000																																										0.000000	0.000000				4.123514	0.047346											-0.000000																							-0.031555																																	-0.000000						0.105646																																				-0.322276	0.000000																																																	-3.922674	
 1 	 24			0.000000																																										1.027990	0.000000				2.650983	0.047342											-0.000000																							-0.012622																																	-0.000000						0.208970																																				-0.000000	0.000011																																																	-3.922674	
 2 	 1			0.000002																																										2.372534	0.000000				1.313270	0.035793											-0.000001																							-0.007882																																	-0.000001						0.208968																																				-0.000011	0.000002																																																	-3.922675	
 2 	 2			0.093778																																										2.679260	0.000000				0.907983	0.035817											-0.000001																							-0.003156																																	-0.000000						0.208969																																				-0.000002	0.000027																																																	-3.922674	
 2 	 3			0.342318																																										2.679260	0.000000				0.657846	0.035841											-0.000001																							-0.001571																																	-0.000000						0.208969																																				-0.000002	0.000014																																																	-3.922674	
 2 	 4			0.402887																																										2.679260	0.000000				0.614617	0.035868											-0.000001																							-0.018933																																	-0.000000						0.208969																																				-0.000002	0.000010																																																	-3.922674	
 2 	 5			0.510333																																										2.679260	0.000000				0.538704	0.035892											-0.000001																							-0.050488																																	-0.000000						0.208969																																				-0.000002	0.000008																																																	-3.922674	
 2 	 6			0.626660																																										2.679260	0.000000				0.498088	0.035916											-0.000001																							-0.126221																																	-0.000000						0.208969																																				-0.000003	0.000006																																																	-3.922674	
 2 	 7			0.794555																																										2.679260	0.000000				0.448469	0.035940											-0.000001																							-0.244520																																	-0.000000						0.208969																																				-0.000003	0.000005																																																	-3.922674	
