Td 	 Time	ELECTRICITY_LV	ELECTRICITY_MV	ELECTRICITY_HV	ELECTRICITY_EHV	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG_LP	NG_MP	NG_HP	NG_EHP	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2_LP	H2_MP	H2_HP	H2_EHP	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PV	TRAFO_ML	TRAFO_LM	WIND_ONSHORE	GEOTHERMAL	TRAFO_HM	TRAFO_MH	CCGT	CCGT_AMMONIA	COAL_IGCC	COAL_US	TRAFO_EH	WIND_OFFSHORE	HYDRO_RIVER	TRAFO_HE	NUCLEAR	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	EHV_GRID	HV_GRID	MV_GRID	LV_GRID	EHP_H2_GRID	HP_H2_GRID	MP_H2_GRID	LP_H2_GRID	EHP_NG_GRID	HP_NG_GRID	MP_NG_GRID	LP_NG_GRID	NG_EXP_EH	NG_EXP_HM	NG_EXP_ML	NG_EXP_EH_COGEN	NG_EXP_HM_COGEN	NG_EXP_ML_COGEN	NG_COMP_HE	NG_COMP_MH	NG_COMP_LM	H2_EXP_EH	H2_EXP_HM	H2_EXP_ML	H2_EXP_EH_COGEN	H2_EXP_HM_COGEN	H2_EXP_ML_COGEN	H2_COMP_HE	H2_COMP_MH	H2_COMP_LM	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1									6.665826																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003443	0.003437							0.000000	
 1 	 2									6.665851																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003455	0.003424							0.000000	
 1 	 3									6.665859																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003459	0.003420							0.000000	
 1 	 4									6.665864																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003461	0.003417							0.000000	
 1 	 5									6.665878																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003467	0.003410							0.000000	
 1 	 6									6.665719																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003390	0.003491							0.000000	
 1 	 7									6.665835																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003447	0.003432							0.000000	
 1 	 8									6.665823																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003441	0.003438							0.000000	
 1 	 9									6.665819																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003439	0.003441							0.000000	
 1 	 10									6.665815																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003437	0.003442							0.000000	
 1 	 11									6.665810																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003435	0.003445							0.000000	
 1 	 12									6.665809																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003434	0.003446							0.000000	
 1 	 13									6.665800																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003430	0.003450							0.000000	
 1 	 14									6.665798																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003428	0.003451							0.000000	
 1 	 15									6.665792																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003426	0.003454							0.000000	
 1 	 16									6.665788																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003423	0.003456							0.000000	
 1 	 17									6.665782																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003420	0.003459							0.000000	
 1 	 18									6.665777																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003418	0.003461							0.000000	
 1 	 19									6.665776																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003417	0.003462							0.000000	
 1 	 20									6.665672																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003361	0.003510							0.000000	
 1 	 21									6.665672																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003361	0.003510							0.000000	
 1 	 22									6.665850																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003454	0.003424							0.000000	
 1 	 23									6.665860																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003459	0.003420							0.000000	
 1 	 24									6.665885																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003472	0.003407							0.000000	
 2 	 1									6.666240																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003643	0.003226							0.000000	
 2 	 2									6.666191																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003606	0.003239							0.000000	
 2 	 3									6.666159																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003585	0.003249							0.000000	
 2 	 4									6.666143																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003573	0.003254							0.000000	
 2 	 5									6.666130																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003565	0.003259							0.000000	
 2 	 6									6.666119																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003559	0.003264							0.000000	
 2 	 7									6.666110																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003555	0.003268							0.000000	
 2 	 8									6.666103																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003551	0.003272							0.000000	
 2 	 9									6.666097																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003548	0.003274							0.000000	
 2 	 10									6.666093																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003546	0.003276							0.000000	
 2 	 11									6.666089																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003544	0.003278							0.000000	
 2 	 12									6.666086																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003542	0.003280							0.000000	
 2 	 13									6.666082																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003540	0.003282							0.000000	
 2 	 14									6.666080																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003540	0.003283							0.000000	
 2 	 15									6.666080																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003540	0.003284							0.000000	
 2 	 16									6.666078																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003540	0.003285							0.000000	
 2 	 17									6.666078																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003540	0.003286							0.000000	
 2 	 18									6.666073																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003538	0.003289							0.000000	
 2 	 19									6.666066																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003536	0.003294							0.000000	
 2 	 20									6.666057																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003532	0.003299							0.000000	
 2 	 21									6.666044																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003528	0.003308							0.000000	
 2 	 22									6.666026																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003522	0.003320							0.000000	
 2 	 23									6.665998																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003514	0.003340							0.000000	
 2 	 24									6.665953																																																		-0.000001												-0.000001						-0.000001					-0.000000																														-6.665821													0.000001																																																																													-0.003505	0.003375							0.000000	
 3 	 1									6.665710																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003384	0.003495							0.000000	
 3 	 2									6.665663																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003365	0.003523							0.000000	
 3 	 3									6.665652																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003360	0.003529							0.000000	
 3 	 4									6.665740																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003399	0.003480							0.000000	
 3 	 5									6.665738																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003398	0.003481							0.000000	
 3 	 6									6.665741																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003400	0.003480							0.000000	
 3 	 7									6.665741																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003400	0.003480							0.000000	
 3 	 8									6.665738																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003398	0.003482							0.000000	
 3 	 9									6.665737																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003398	0.003482							0.000000	
 3 	 10									6.665729																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003394	0.003486							0.000000	
 3 	 11									6.665727																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003393	0.003487							0.000000	
 3 	 12									6.665731																																																		-0.000000												-0.000000						-0.000000					-0.000000																														-6.665820													0.000000																																																																													-0.003395	0.003485							0.000000	
 3 	 13									6.665729																																																		-0.000000												-0.000000						-0.000000					-0.000000																														-6.665820													0.000000																																																																													-0.003394	0.003486							0.000000	
 3 	 14									6.665729																																																		-0.000000												-0.000000						-0.000000					-0.000000																														-6.665820													0.000000																																																																													-0.003394	0.003486							0.000000	
 3 	 15									6.665727																																																		-0.000000												-0.000000						-0.000000					-0.000000																														-6.665820													0.000000																																																																													-0.003393	0.003487							0.000000	
 3 	 16									6.665722																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003390	0.003490							0.000000	
 3 	 17									6.665726																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003392	0.003488							0.000000	
 3 	 18									6.665724																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003392	0.003489							0.000000	
 3 	 19									6.665724																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003391	0.003489							0.000000	
 3 	 20									6.665722																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003391	0.003490							0.000000	
 3 	 21									6.665727																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003393	0.003488							0.000000	
 3 	 22									6.665727																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003393	0.003487							0.000000	
 3 	 23									6.665737																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003398	0.003482							0.000000	
 3 	 24									6.665754																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665820													0.000000																																																																													-0.003407	0.003474							0.000000	
 4 	 1									6.665836																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003446	0.003432							0.000000	
 4 	 2									6.665848																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003453	0.003426							0.000000	
 4 	 3									6.665816																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003438	0.003444							0.000000	
 4 	 4									6.665852																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003455	0.003424							0.000000	
 4 	 5									6.665850																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003454	0.003425							0.000000	
 4 	 6									6.665839																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003448	0.003431							0.000000	
 4 	 7									6.665840																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003449	0.003431							0.000000	
 4 	 8									6.665843																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003450	0.003429							0.000000	
 4 	 9									6.665842																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003450	0.003430							0.000000	
 4 	 10									6.665839																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003448	0.003431							0.000000	
 4 	 11									6.665837																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003448	0.003432							0.000000	
 4 	 12									6.665830																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003444	0.003435							0.000000	
 4 	 13									6.665829																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003443	0.003436							0.000000	
 4 	 14									6.665818																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003438	0.003441							0.000000	
 4 	 15									6.665818																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003438	0.003442							0.000000	
 4 	 16									6.665826																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003442	0.003438							0.000000	
 4 	 17									6.665823																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003440	0.003439							0.000000	
 4 	 18									6.665827																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003442	0.003437							0.000000	
 4 	 19									6.665824																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003441	0.003438							0.000000	
 4 	 20									6.665819																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003439	0.003442							0.000000	
 4 	 21									6.665836																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003447	0.003432							0.000000	
 4 	 22									6.665833																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003445	0.003434							0.000000	
 4 	 23									6.665837																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003447	0.003432							0.000000	
 4 	 24									6.665850																																																		-0.000000												-0.000000						-0.000001					-0.000000																														-6.665821													0.000000																																																																													-0.003454	0.003425							0.000000	
 5 	 1									6.665873																																																		-0.000000												-0.000000						-0.000000					-0.000000																														-6.665822													0.000000																																																																													-0.003465	0.003415							0.000000	
