Td 	 Time	ELECTRICITY_LV	ELECTRICITY_MV	ELECTRICITY_HV	ELECTRICITY_EHV	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG_LP	NG_MP	NG_HP	NG_EHP	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2_LP	H2_MP	H2_HP	H2_EHP	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PV	TRAFO_ML	TRAFO_LM	WIND_ONSHORE	GEOTHERMAL	TRAFO_HM	TRAFO_MH	CCGT	CCGT_AMMONIA	COAL_IGCC	COAL_US	TRAFO_EH	WIND_OFFSHORE	HYDRO_RIVER	TRAFO_HE	NUCLEAR	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	EHV_GRID	HV_GRID	MV_GRID	LV_GRID	EHP_H2_GRID	HP_H2_GRID	MP_H2_GRID	LP_H2_GRID	EHP_NG_GRID	HP_NG_GRID	MP_NG_GRID	LP_NG_GRID	NG_EXP_EH	NG_EXP_HM	NG_EXP_ML	NG_EXP_EH_COGEN	NG_EXP_HM_COGEN	NG_EXP_ML_COGEN	NG_COMP_HE	NG_COMP_MH	NG_COMP_LM	H2_EXP_EH	H2_EXP_HM	H2_EXP_ML	H2_EXP_EH_COGEN	H2_EXP_HM_COGEN	H2_EXP_ML_COGEN	H2_COMP_HE	H2_COMP_MH	H2_COMP_LM	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																															1.972222										-1.348602									-0.623620																																																																																																																																																																0.000000	
 1 	 2																															2.447778										-1.621575									-0.826204																																																																																																																																																																0.000000	
 1 	 3																															3.284619										-2.296613									-0.988005																																																																																																																																																																0.000000	
 1 	 4																															3.906544										-2.901627									-1.004917																																																																																																																																																																0.000000	
 1 	 5																															3.741147										-2.754377									-0.986770																																																																																																																																																																0.000000	
 1 	 6																															3.618840										-2.657556									-0.961284																																																																																																																																																																0.000000	
 1 	 7																															3.212905										-2.531377									-0.681528																																																																																																																																																																0.000000	
 1 	 8																															3.954881										-3.225801									-0.729080																																																																																																																																																																0.000000	
 1 	 9																															4.459230										-3.601388									-0.857842																																																																																																																																																																0.000000	
 1 	 10																															5.412847										-4.405626									-1.007221																																																																																																																																																																0.000000	
 1 	 11																															5.012147										-4.019890									-0.992257																																																																																																																																																																0.000000	
 1 	 12																															5.264060										-3.759630									-1.504430																																																																																																																																																																0.000000	
 1 	 13																															5.586879										-3.508045									-2.078835																																																																																																																																																																0.000000	
 1 	 14																															4.907995										-2.514275									-2.393721																																																																																																																																																																0.000000	
 1 	 15																															4.834310										-1.942027									-2.892284																																																																																																																																																																0.000000	
 1 	 16																															6.157122										-2.152489									-4.004633																																																																																																																																																																0.000000	
 1 	 17																															8.038557										-3.082379									-4.956178																																																																																																																																																																0.000000	
 1 	 18																															9.828807										-4.209176									-5.619631																																																																																																																																																																0.000000	
 1 	 19																															9.382857										-4.617458									-4.765399																																																																																																																																																																0.000000	
 1 	 20																															10.465308										-5.686275									-4.779033																																																																																																																																																																0.000000	
 1 	 21																															10.650531										-5.955700									-4.694831																																																																																																																																																																0.000000	
 1 	 22																															9.796474										-5.214254									-4.582220																																																																																																																																																																0.000000	
 1 	 23																															8.184105										-4.060591									-4.123514																																																																																																																																																																0.000000	
 1 	 24																															5.712467										-3.061484									-2.650983																																																																																																																																																																0.000000	
 2 	 1																															2.670125										-1.356855									-1.313270																																																																																																																																																																0.000000	
 2 	 2																															1.730938										-0.822955									-0.907983																																																																																																																																																																0.000000	
 2 	 3																															1.193747										-0.535901									-0.657846																																																																																																																																																																0.000000	
 2 	 4																															1.047271										-0.432654									-0.614617																																																																																																																																																																0.000000	
 2 	 5																															0.865091										-0.326386									-0.538704																																																																																																																																																																0.000000	
 2 	 6																															0.768917										-0.270830									-0.498088																																																																																																																																																																0.000000	
 2 	 7																															0.674734										-0.226265									-0.448469																																																																																																																																																																0.000000	
 2 	 8																															0.591015										-0.219171									-0.371844																																																																																																																																																																0.000000	
 2 	 9																															0.500730										-0.199716									-0.301014																																																																																																																																																																0.000000	
 2 	 10																															0.436456										-0.239715									-0.196741																																																																																																																																																																0.000000	
 2 	 11																															0.429598										-0.225352									-0.204247																																																																																																																																																																0.000000	
 2 	 12																															0.430626										-0.149778									-0.280848																																																																																																																																																																0.000000	
 2 	 13																															0.358885										-0.122597									-0.236289																																																																																																																																																																0.000000	
 2 	 14																															0.181027										-0.085020									-0.096007																																																																																																																																																																0.000000	
 2 	 15																															0.107296										-0.071359									-0.035937																																																																																																																																																																0.000000	
 2 	 16																															0.134337										-0.098400									-0.035937																																																																																																																																																																0.000000	
 2 	 17																															0.144498										-0.108584									-0.035913																																																																																																																																																																0.000000	
 2 	 18																															0.178773										-0.142860									-0.035913																																																																																																																																																																0.000000	
 2 	 19																															0.333925										-0.297941									-0.035984																																																																																																																																																																0.000000	
 2 	 20																															0.715295										-0.679358									-0.035937																																																																																																																																																																0.000000	
 2 	 21																															0.795142										-0.759181									-0.035961																																																																																																																																																																0.000000	
 2 	 22																															0.824571										-0.788610									-0.035961																																																																																																																																																																0.000000	
 2 	 23																															0.901936										-0.865975									-0.035961																																																																																																																																																																0.000000	
 2 	 24																															0.758490										-0.722553									-0.035937																																																																																																																																																																0.000000	
 3 	 1																															0.510995										-0.478026									-0.032968																																																																																																																																																																0.000000	
 3 	 2																															0.418564										-0.385596									-0.032968																																																																																																																																																																0.000000	
 3 	 3																															0.578667										-0.545699									-0.032968																																																																																																																																																																0.000000	
 3 	 4																															0.715979										-0.683010									-0.032968																																																																																																																																																																0.000000	
 3 	 5																															1.140415										-1.107447									-0.032968																																																																																																																																																																0.000000	
 3 	 6																															1.226560										-1.193591									-0.032968																																																																																																																																																																0.000000	
 3 	 7																															1.390420										-1.357452									-0.032968																																																																																																																																																																0.000000	
 3 	 8																															1.451385										-1.418417									-0.032968																																																																																																																																																																0.000000	
 3 	 9																															1.270633										-1.237664									-0.032968																																																																																																																																																																0.000000	
 3 	 10																															1.082154										-1.049186									-0.032968																																																																																																																																																																0.000000	
 3 	 11																															0.649489										-0.613196									-0.036294																																																																																																																																																																0.000000	
 3 	 12																															0.550806										-0.515462									-0.035344																																																																																																																																																																0.000000	
 3 	 13																															0.815669										-0.734388									-0.081281																																																																																																																																																																0.000000	
 3 	 14																															1.034020										-0.746925									-0.287095																																																																																																																																																																0.000000	
 3 	 15																															1.446242										-0.816494									-0.629748																																																																																																																																																																0.000000	
 3 	 16																															1.588119										-0.915070									-0.673048																																																																																																																																																																0.000000	
