Td 	 Time	ELECTRICITY_LV	ELECTRICITY_MV	ELECTRICITY_HV	ELECTRICITY_EHV	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG_LP	NG_MP	NG_HP	NG_EHP	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2_LP	H2_MP	H2_HP	H2_EHP	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PV	TRAFO_ML	TRAFO_LM	WIND_ONSHORE	GEOTHERMAL	TRAFO_HM	TRAFO_MH	CCGT	CCGT_AMMONIA	COAL_IGCC	COAL_US	TRAFO_EH	WIND_OFFSHORE	HYDRO_RIVER	TRAFO_HE	NUCLEAR	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	EHV_GRID	HV_GRID	MV_GRID	LV_GRID	EHP_H2_GRID	HP_H2_GRID	MP_H2_GRID	LP_H2_GRID	EHP_NG_GRID	HP_NG_GRID	MP_NG_GRID	LP_NG_GRID	NG_EXP_EH	NG_EXP_HM	NG_EXP_ML	NG_EXP_EH_COGEN	NG_EXP_HM_COGEN	NG_EXP_ML_COGEN	NG_COMP_HE	NG_COMP_MH	NG_COMP_LM	H2_EXP_EH	H2_EXP_HM	H2_EXP_ML	H2_EXP_EH_COGEN	H2_EXP_HM_COGEN	H2_EXP_ML_COGEN	H2_COMP_HE	H2_COMP_MH	H2_COMP_LM	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																			1.548076																																					-0.000001					-1.548075					-0.000000																																																																																																																																																0.000000	
 1 	 2																			1.551992																																					-0.000000					-1.551991					-0.000000																																																																																																																																																0.000000	
 1 	 3																			1.810621																																					-0.000000					-1.810620					-0.000000																																																																																																																																																0.000000	
 1 	 4																			1.812555																																					-0.000000					-1.812554					-0.000000																																																																																																																																																0.000000	
 1 	 5																			1.816107																																					-0.000000					-1.816107					-0.000000																																																																																																																																																0.000000	
 1 	 6																			2.104265																																					-0.000001					-2.104265					-0.000000																																																																																																																																																0.000000	
 1 	 7																			2.104263																																					-0.000000					-2.104262					-0.000000																																																																																																																																																0.000000	
 1 	 8																			2.812154																																					-0.000000					-2.812153					-0.000000																																																																																																																																																0.000000	
 1 	 9																			2.812165																																					-0.000000					-2.812165					-0.000000																																																																																																																																																0.000000	
 1 	 10																			2.812164																																					-0.000000					-2.812163					-0.000000																																																																																																																																																0.000000	
 1 	 11																			2.812160																																					-0.000000					-2.812160					-0.000000																																																																																																																																																0.000000	
 1 	 12																			2.812155																																					-0.000000					-2.812155					-0.000000																																																																																																																																																0.000000	
 1 	 13																			2.812148																																					-0.000000					-2.812147					-0.000000																																																																																																																																																0.000000	
 1 	 14																			2.467209																																					-0.000000					-2.467208					-0.000000																																																																																																																																																0.000000	
 1 	 15																			2.065527																																					-0.000000					-2.065526					-0.000000																																																																																																																																																0.000000	
 1 	 16																			2.212912																																					-0.000000					-2.212911					-0.000000																																																																																																																																																0.000000	
 1 	 17																			2.262842																																					-0.000000					-2.262841					-0.000000																																																																																																																																																0.000000	
 1 	 18																			1.713459																																					-0.000000					-1.713458					-0.000000																																																																																																																																																0.000000	
 1 	 19																			1.814015																																					-0.000000					-1.814014					-0.000000																																																																																																																																																0.000000	
 1 	 20																			1.857323																																					-0.000000					-1.857322					-0.000000																																																																																																																																																0.000000	
 1 	 21																			1.999456																																					-0.000000					-1.999455					-0.000000																																																																																																																																																0.000000	
 1 	 22																			1.814104																																					-0.000000					-1.814104					-0.000000																																																																																																																																																0.000000	
 1 	 23																			2.102587																																					-0.000000					-2.102586					-0.000000																																																																																																																																																0.000000	
 1 	 24																			2.104337																																					-0.000000					-2.104336					-0.000000																																																																																																																																																0.000000	
 2 	 1																			1.773396																																					-0.000001					-1.773395					-0.000000																																																																																																																																																0.000000	
 2 	 2																			1.773851																																					-0.000001					-1.773850					-0.000000																																																																																																																																																0.000000	
 2 	 3																			1.966260																																					-0.000001					-1.966259					-0.000000																																																																																																																																																0.000000	
 2 	 4																			1.967176																																					-0.000001					-1.967175					-0.000000																																																																																																																																																0.000000	
 2 	 5																			1.967172																																					-0.000001					-1.967171					-0.000000																																																																																																																																																0.000000	
 2 	 6																			1.967097																																					-0.000001					-1.967096					-0.000000																																																																																																																																																0.000000	
 2 	 7																			1.966993																																					-0.000001					-1.966992					-0.000000																																																																																																																																																0.000000	
 2 	 8																			1.967309																																					-0.000001					-1.967308					-0.000000																																																																																																																																																0.000000	
 2 	 9																			1.967180																																					-0.000001					-1.967179					-0.000000																																																																																																																																																0.000000	
 2 	 10																			1.967153																																					-0.000001					-1.967152					-0.000000																																																																																																																																																0.000000	
 2 	 11																			1.967119																																					-0.000001					-1.967118					-0.000000																																																																																																																																																0.000000	
 2 	 12																			1.967135																																					-0.000001					-1.967134					-0.000000																																																																																																																																																0.000000	
 2 	 13																			1.967085																																					-0.000001					-1.967084					-0.000000																																																																																																																																																0.000000	
 2 	 14																			1.967052																																					-0.000001					-1.967051					-0.000000																																																																																																																																																0.000000	
 2 	 15																			1.967022																																					-0.000001					-1.967021					-0.000000																																																																																																																																																0.000000	
 2 	 16																			1.966941																																					-0.000001					-1.966940					-0.000000																																																																																																																																																0.000000	
 2 	 17																			1.966873																																					-0.000001					-1.966872					-0.000000																																																																																																																																																0.000000	
 2 	 18																			1.966799																																					-0.000001					-1.966797					-0.000000																																																																																																																																																0.000000	
 2 	 19																			1.966843																																					-0.000001					-1.966842					-0.000000																																																																																																																																																0.000000	
 2 	 20																			1.966969																																					-0.000001					-1.966968					-0.000000																																																																																																																																																0.000000	
 2 	 21																			1.967678																																					-0.000001					-1.967677					-0.000000																																																																																																																																																0.000000	
 2 	 22																			1.970577																																					-0.000001					-1.970576					-0.000000																																																																																																																																																0.000000	
 2 	 23																			2.186939																																					-0.000001					-2.186938					-0.000000																																																																																																																																																0.000000	
 2 	 24																			2.187676																																					-0.000001					-2.187675					-0.000000																																																																																																																																																0.000000	
 3 	 1																			1.678160																																					-0.000001					-1.678159					-0.000000																																																																																																																																																0.000000	
 3 	 2																			1.679119																																					-0.000001					-1.679118					-0.000000																																																																																																																																																0.000000	
 3 	 3																			1.899502																																					-0.000001					-1.899501					-0.000000																																																																																																																																																0.000000	
 3 	 4																			1.900633																																					-0.000001					-1.900632					-0.000000																																																																																																																																																0.000000	
 3 	 5																			1.900788																																					-0.000001					-1.900787					-0.000000																																																																																																																																																0.000000	
 3 	 6																			1.900671																																					-0.000001					-1.900670					-0.000000																																																																																																																																																0.000000	
