Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1											3.669443																																		-3.669443																																																																																																																									0.000000	
 1 	 2											4.106770																																		-4.106770																																																																																																																									0.000000	
 1 	 3											4.106430																																		-4.106430																																																																																																																									0.000000	
 1 	 4											4.106069																																		-4.106069																																																																																																																									0.000000	
 1 	 5											4.105919																																		-4.105919																																																																																																																									0.000000	
 1 	 6											4.105771																																		-4.105771																																																																																																																									0.000000	
 1 	 7											4.105621																																		-4.105621																																																																																																																									0.000000	
 1 	 8											4.105453																																		-4.105453																																																																																																																									0.000000	
 1 	 9											4.105306																																		-4.105306																																																																																																																									0.000000	
 1 	 10											4.105157																																		-4.105157																																																																																																																									0.000000	
 1 	 11											4.105026																																		-4.105026																																																																																																																									0.000000	
 1 	 12											4.104880																																		-4.104880																																																																																																																									0.000000	
 1 	 13											4.104765																																		-4.104765																																																																																																																									0.000000	
 1 	 14											4.104646																																		-4.104646																																																																																																																									0.000000	
 1 	 15											4.104554																																		-4.104554																																																																																																																									0.000000	
 1 	 16											4.104436																																		-4.104436																																																																																																																									0.000000	
 1 	 17											4.104327																																		-4.104327																																																																																																																									0.000000	
 1 	 18											4.104229																																		-4.104229																																																																																																																									0.000000	
 1 	 19											4.104154																																		-4.104154																																																																																																																									0.000000	
 1 	 20											4.104098																																		-4.104098																																																																																																																									0.000000	
 1 	 21											4.104055																																		-4.104055																																																																																																																									0.000000	
 1 	 22											4.162977																																		-4.162977																																																																																																																									0.000000	
 1 	 23											4.230498																																		-4.230498																																																																																																																									0.000000	
 1 	 24											4.230635																																		-4.230635																																																																																																																									0.000000	
 2 	 1											3.844550																																		-3.844550																																																																																																																									0.000000	
 2 	 2											4.122262																																		-4.122262																																																																																																																									0.000000	
 2 	 3											4.122184																																		-4.122184																																																																																																																									0.000000	
 2 	 4											4.122129																																		-4.122129																																																																																																																									0.000000	
 2 	 5											4.122026																																		-4.122026																																																																																																																									0.000000	
 2 	 6											4.121952																																		-4.121952																																																																																																																									0.000000	
 2 	 7											4.121903																																		-4.121903																																																																																																																									0.000000	
 2 	 8											4.121864																																		-4.121864																																																																																																																									0.000000	
 2 	 9											4.121862																																		-4.121862																																																																																																																									0.000000	
 2 	 10											4.121873																																		-4.121873																																																																																																																									0.000000	
 2 	 11											4.121886																																		-4.121886																																																																																																																									0.000000	
 2 	 12											4.121893																																		-4.121893																																																																																																																									0.000000	
 2 	 13											4.121902																																		-4.121902																																																																																																																									0.000000	
 2 	 14											4.121912																																		-4.121912																																																																																																																									0.000000	
 2 	 15											4.121919																																		-4.121919																																																																																																																									0.000000	
 2 	 16											4.121914																																		-4.121914																																																																																																																									0.000000	
 2 	 17											4.121887																																		-4.121887																																																																																																																									0.000000	
 2 	 18											4.121850																																		-4.121850																																																																																																																									0.000000	
 2 	 19											4.121810																																		-4.121810																																																																																																																									0.000000	
 2 	 20											4.121766																																		-4.121766																																																																																																																									0.000000	
 2 	 21											4.121474																																		-4.121474																																																																																																																									0.000000	
 2 	 22											4.172176																																		-4.172176																																																																																																																									0.000000	
 2 	 23											4.227247																																		-4.227247																																																																																																																									0.000000	
 2 	 24											4.229199																																		-4.229199																																																																																																																									0.000000	
 3 	 1											3.744994																																		-3.744994																																																																																																																									0.000000	
 3 	 2											4.115619																																		-4.115619																																																																																																																									0.000000	
 3 	 3											4.115289																																		-4.115289																																																																																																																									0.000000	
 3 	 4											4.115089																																		-4.115089																																																																																																																									0.000000	
 3 	 5											4.115003																																		-4.115003																																																																																																																									0.000000	
 3 	 6											4.114942																																		-4.114942																																																																																																																									0.000000	
 3 	 7											4.114914																																		-4.114914																																																																																																																									0.000000	
 3 	 8											4.114897																																		-4.114897																																																																																																																									0.000000	
 3 	 9											4.114877																																		-4.114877																																																																																																																									0.000000	
 3 	 10											4.114849																																		-4.114849																																																																																																																									0.000000	
 3 	 11											4.114792																																		-4.114792																																																																																																																									0.000000	
 3 	 12											4.114758																																		-4.114758																																																																																																																									0.000000	
 3 	 13											4.114745																																		-4.114745																																																																																																																									0.000000	
 3 	 14											4.114739																																		-4.114739																																																																																																																									0.000000	
 3 	 15											4.114731																																		-4.114731																																																																																																																									0.000000	
 3 	 16											4.114739																																		-4.114739																																																																																																																									0.000000	
