Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	385.356125	202.220737	0.000000
CCGT_AMMONIA	0.000018	0.000010	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1502.959017	355.630069	0.000000
WIND_ONSHORE	407.572703	113.845000	0.000000
WIND_OFFSHORE	1162.532824	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	112.754122	150.169569	0.000000
IND_COGEN_WOOD	0.000017	0.000013	0.000000
IND_COGEN_WASTE	0.000023	0.000017	0.000000
IND_BOILER_GAS	0.000038	0.000011	0.000000
IND_BOILER_WOOD	0.000021	0.000006	0.000000
IND_BOILER_OIL	0.000017	0.000006	0.000000
IND_BOILER_COAL	26.804050	7.991673	0.000000
IND_BOILER_WASTE	14.304064	4.264781	0.000000
IND_DIRECT_ELEC	176.546818	10.686442	0.000000
DHN_HP_ELEC	104.901119	73.701550	0.000000
DHN_COGEN_GAS	0.000042	0.000025	0.000000
DHN_COGEN_WOOD	0.000013	0.000010	0.000000
DHN_COGEN_WASTE	0.000018	0.000013	0.000000
DHN_COGEN_WET_BIOMASS	0.000017	0.000028	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000055	0.000036	0.000000
DHN_BOILER_GAS	0.000004	0.000001	0.000000
DHN_BOILER_WOOD	0.000006	0.000002	0.000000
DHN_BOILER_OIL	0.000003	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000008	0.000000	0.000000
DEC_HP_ELEC	538.022399	351.579492	0.000000
DEC_THHP_GAS	0.001422	0.000714	0.000000
DEC_COGEN_GAS	0.000039	0.000043	0.000000
DEC_COGEN_OIL	0.000028	0.000029	0.000000
DEC_ADVCOGEN_GAS	0.000069	0.000022	0.000000
DEC_ADVCOGEN_H2	0.000043	0.000014	0.000000
DEC_BOILER_GAS	0.000033	0.000015	0.000000
DEC_BOILER_WOOD	0.000032	0.000017	0.000000
DEC_BOILER_OIL	0.000025	0.000022	0.000000
DEC_SOLAR	0.000183	0.000035	0.000000
DEC_DIRECT_ELEC	0.000038	0.000002	0.000000
TRAMWAY_TROLLEY	82.896651	39.816651	0.000000
BUS_COACH_DIESEL_SD	0.000081	0.000052	0.000000
BUS_COACH_HYDIESEL_SD	0.000088	0.000045	0.000000
BUS_COACH_CNG_STOICH_SD	403.609008	262.047943	0.000000
BUS_COACH_FC_HYBRIDH2_SD	0.000069	0.000027	0.000000
CAR_GASOLINE_SD	0.000038	0.000020	0.000000
CAR_DIESEL_SD	0.000037	0.000018	0.000000
CAR_NG_SD	0.000045	0.000022	0.000000
CAR_METHANOL_SD	0.000038	0.000019	0.000000
CAR_HEV_SD	0.000035	0.000025	0.000000
CAR_PHEV_SD	0.000756	0.000514	0.000000
CAR_BEV_SD	3182.842594	707.858340	0.000000
CAR_FUEL_CELL_SD	0.000058	0.000009	0.000000
BUS_COACH_DIESEL_LD	0.000077	0.000050	0.000000
BUS_COACH_HYDIESEL_LD	0.000090	0.000046	0.000000
BUS_COACH_CNG_STOICH_LD	864.876527	561.531360	0.000000
BUS_COACH_FC_HYBRIDH2_LD	0.000072	0.000029	0.000000
TRAIN_PUB	0.000144	0.000156	0.000000
CAR_GASOLINE_LD	0.000253	0.000129	0.000000
CAR_DIESEL_LD	0.000216	0.000107	0.000000
CAR_NG_LD	1693.306915	849.425985	0.000000
CAR_METHANOL_LD	0.000244	0.000124	0.000000
CAR_HEV_LD	0.000144	0.000102	0.000000
CAR_PHEV_LD	0.000756	0.000514	0.000000
CAR_BEV_LD	3182.842594	707.858340	0.000000
CAR_FUEL_CELL_LD	0.010092	0.001615	0.000000
TRAIN_FREIGHT	26.982707	16.143514	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000001	0.000000
BOAT_FREIGHT_NG	73.023276	106.290053	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000001	0.000001	0.000000
TRUCK_METHANOL	0.000001	0.000000	0.000000
TRUCK_FUEL_CELL	1561.513307	621.044309	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	0.000003	0.000002	0.000000
HABER_BOSCH	0.000022	0.000007	0.000000
SYN_METHANOLATION	0.000024	0.000012	0.000000
METHANE_TO_METHANOL	0.000030	0.000027	0.000000
BIOMASS_TO_METHANOL	175.036578	45.911858	0.000000
OIL_TO_HVC	100.403239	7.122552	0.000000
GAS_TO_HVC	0.000020	0.000010	0.000000
BIOMASS_TO_HVC	0.000049	0.000025	0.000000
METHANOL_TO_HVC	46.053551	71.160543	0.000000
PHS	10.920051	0.000000	0.000000
BATT_LI	0.000917	0.000019	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000066	0.000008	0.000000
TS_DEC_HP_ELEC	62.807767	7.548836	0.000000
TS_DEC_THHP_GAS	0.000134	0.000016	0.000000
TS_DEC_COGEN_GAS	0.000066	0.000008	0.000000
TS_DEC_COGEN_OIL	0.000065	0.000008	0.000000
TS_DEC_ADVCOGEN_GAS	0.000065	0.000008	0.000000
TS_DEC_ADVCOGEN_H2	0.000064	0.000008	0.000000
