Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL_SD	BUS_COACH_HYDIESEL_SD	BUS_COACH_CNG_STOICH_SD	BUS_COACH_FC_HYBRIDH2_SD	CAR_GASOLINE_SD	CAR_DIESEL_SD	CAR_NG_SD	CAR_METHANOL_SD	CAR_HEV_SD	CAR_PHEV_SD	CAR_BEV_SD	CAR_FUEL_CELL_SD	BUS_COACH_DIESEL_LD	BUS_COACH_HYDIESEL_LD	BUS_COACH_CNG_STOICH_LD	BUS_COACH_FC_HYBRIDH2_LD	TRAIN_PUB	CAR_GASOLINE_LD	CAR_DIESEL_LD	CAR_NG_LD	CAR_METHANOL_LD	CAR_HEV_LD	CAR_PHEV_LD	CAR_BEV_LD	CAR_FUEL_CELL_LD	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1											4.112301																																		-4.112301																																																																																																																																					0.000000	
 1 	 2											4.112531																																		-4.112531																																																																																																																																					0.000000	
 1 	 3											4.112672																																		-4.112672																																																																																																																																					0.000000	
 1 	 4											4.112677																																		-4.112677																																																																																																																																					0.000000	
 1 	 5											4.112641																																		-4.112641																																																																																																																																					0.000000	
 1 	 6											4.112579																																		-4.112579																																																																																																																																					0.000000	
 1 	 7											4.112518																																		-4.112518																																																																																																																																					0.000000	
 1 	 8											4.112454																																		-4.112454																																																																																																																																					0.000000	
 1 	 9											4.112393																																		-4.112393																																																																																																																																					0.000000	
 1 	 10											4.112345																																		-4.112345																																																																																																																																					0.000000	
 1 	 11											4.112292																																		-4.112292																																																																																																																																					0.000000	
 1 	 12											4.112246																																		-4.112246																																																																																																																																					0.000000	
 1 	 13											4.112202																																		-4.112202																																																																																																																																					0.000000	
 1 	 14											4.112161																																		-4.112161																																																																																																																																					0.000000	
 1 	 15											4.112122																																		-4.112122																																																																																																																																					0.000000	
 1 	 16											4.112088																																		-4.112088																																																																																																																																					0.000000	
 1 	 17											4.112058																																		-4.112058																																																																																																																																					0.000000	
 1 	 18											4.112019																																		-4.112019																																																																																																																																					0.000000	
 1 	 19											4.111977																																		-4.111977																																																																																																																																					0.000000	
 1 	 20											4.111941																																		-4.111941																																																																																																																																					0.000000	
 1 	 21											4.111963																																		-4.111963																																																																																																																																					0.000000	
 1 	 22											4.112012																																		-4.112012																																																																																																																																					0.000000	
 1 	 23											4.112030																																		-4.112030																																																																																																																																					0.000000	
 1 	 24											4.112089																																		-4.112089																																																																																																																																					0.000000	
 2 	 1											4.130311																																		-4.130311																																																																																																																																					0.000000	
 2 	 2											4.129800																																		-4.129800																																																																																																																																					0.000000	
 2 	 3											4.129771																																		-4.129771																																																																																																																																					0.000000	
 2 	 4											4.129757																																		-4.129757																																																																																																																																					0.000000	
 2 	 5											4.129718																																		-4.129718																																																																																																																																					0.000000	
 2 	 6											4.129712																																		-4.129712																																																																																																																																					0.000000	
 2 	 7											4.129714																																		-4.129714																																																																																																																																					0.000000	
 2 	 8											4.129717																																		-4.129717																																																																																																																																					0.000000	
 2 	 9											4.129719																																		-4.129719																																																																																																																																					0.000000	
 2 	 10											4.129719																																		-4.129719																																																																																																																																					0.000000	
 2 	 11											4.129720																																		-4.129720																																																																																																																																					0.000000	
 2 	 12											4.129720																																		-4.129720																																																																																																																																					0.000000	
 2 	 13											4.129720																																		-4.129720																																																																																																																																					0.000000	
 2 	 14											4.129719																																		-4.129719																																																																																																																																					0.000000	
 2 	 15											4.129719																																		-4.129719																																																																																																																																					0.000000	
 2 	 16											4.129721																																		-4.129721																																																																																																																																					0.000000	
 2 	 17											4.129724																																		-4.129724																																																																																																																																					0.000000	
 2 	 18											4.129726																																		-4.129726																																																																																																																																					0.000000	
 2 	 19											4.129732																																		-4.129732																																																																																																																																					0.000000	
 2 	 20											4.129735																																		-4.129735																																																																																																																																					0.000000	
 2 	 21											4.129735																																		-4.129735																																																																																																																																					0.000000	
 2 	 22											4.129734																																		-4.129734																																																																																																																																					0.000000	
 2 	 23											4.129741																																		-4.129741																																																																																																																																					0.000000	
 2 	 24											4.129062																																		-4.129062																																																																																																																																					0.000000	
 3 	 1											4.121880																																		-4.121880																																																																																																																																					0.000000	
 3 	 2											4.121860																																		-4.121860																																																																																																																																					0.000000	
 3 	 3											4.121856																																		-4.121856																																																																																																																																					0.000000	
 3 	 4											4.121831																																		-4.121831																																																																																																																																					0.000000	
 3 	 5											4.121827																																		-4.121827																																																																																																																																					0.000000	
 3 	 6											4.121823																																		-4.121823																																																																																																																																					0.000000	
 3 	 7											4.121817																																		-4.121817																																																																																																																																					0.000000	
 3 	 8											4.121806																																		-4.121806																																																																																																																																					0.000000	
 3 	 9											4.121796																																		-4.121796																																																																																																																																					0.000000	
 3 	 10											4.121783																																		-4.121783																																																																																																																																					0.000000	
 3 	 11											4.121769																																		-4.121769																																																																																																																																					0.000000	
 3 	 12											4.121759																																		-4.121759																																																																																																																																					0.000000	
 3 	 13											4.121750																																		-4.121750																																																																																																																																					0.000000	
 3 	 14											4.121740																																		-4.121740																																																																																																																																					0.000000	
 3 	 15											4.121728																																		-4.121728																																																																																																																																					0.000000	
 3 	 16											4.121714																																		-4.121714																																																																																																																																					0.000000	
 3 	 17											4.121712																																		-4.121712																																																																																																																																					0.000000	
 3 	 18											4.121720																																		-4.121720																																																																																																																																					0.000000	
 3 	 19											4.121728																																		-4.121728																																																																																																																																					0.000000	
 3 	 20											4.121737																																		-4.121737																																																																																																																																					0.000000	
