Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL_SD	BUS_COACH_HYDIESEL_SD	BUS_COACH_CNG_STOICH_SD	BUS_COACH_FC_HYBRIDH2_SD	CAR_GASOLINE_SD	CAR_DIESEL_SD	CAR_NG_SD	CAR_METHANOL_SD	CAR_HEV_SD	CAR_PHEV_SD	CAR_BEV_SD	CAR_FUEL_CELL_SD	BUS_COACH_DIESEL_LD	BUS_COACH_HYDIESEL_LD	BUS_COACH_CNG_STOICH_LD	BUS_COACH_FC_HYBRIDH2_LD	TRAIN_PUB	CAR_GASOLINE_LD	CAR_DIESEL_LD	CAR_NG_LD	CAR_METHANOL_LD	CAR_HEV_LD	CAR_PHEV_LD	CAR_BEV_LD	CAR_FUEL_CELL_LD	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.372121	1.785952	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192775	0.192848																	-6.474121	
 1 	 2																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.372309	1.785835	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192804	0.192806																	-6.474121	
 1 	 3																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.372425	1.785719	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192877	0.192879																	-6.474121	
 1 	 4																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.372429	1.785715	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192933	0.192934																	-6.474121	
 1 	 5																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.372399	1.785745	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192953	0.192954																	-6.474121	
 1 	 6																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.372348	1.785796	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192960	0.192961																	-6.474121	
 1 	 7																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.372299	1.785846	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192962	0.192962																	-6.474121	
 1 	 8																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.372246	1.785899	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192970	0.192970																	-6.474121	
 1 	 9																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.372196	1.785949	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192969	0.192969																	-6.474121	
 1 	 10																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.372157	1.785989	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192969	0.192968																	-6.474121	
 1 	 11																																							1.783647	0.000000	0.000000	0.000000	0.000000	0.000000	3.372114	1.786032	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192969	0.192969																	-6.474121	
 1 	 12																																							1.783647	0.000000	0.000000	0.000000	0.000000	0.000000	3.372075	1.786071	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192966	0.192966																	-6.474121	
 1 	 13																																							1.783647	0.000000	0.000000	0.000000	0.000000	0.000000	3.372039	1.786107	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192958	0.192958																	-6.474121	
 1 	 14																																							1.783647	0.000000	0.000000	0.000000	0.000000	0.000000	3.372006	1.786140	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192971	0.192971																	-6.474121	
 1 	 15																																							1.783647	0.000000	0.000000	0.000000	0.000000	0.000000	3.371973	1.786173	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192960	0.192960																	-6.474121	
 1 	 16																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.371946	1.786200	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192959	0.192958																	-6.474121	
 1 	 17																																							1.783648	0.000000	0.000000	0.000000	0.000000	0.000000	3.371921	1.786225	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192968	0.192968																	-6.474121	
 1 	 18																																							1.783647	0.000000	0.000000	0.000000	0.000000	0.000000	3.371890	1.786257	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192967	0.192966																	-6.474121	
 1 	 19																																							1.783647	0.000000	0.000000	0.000000	0.000000	0.000000	3.371854	1.786292	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192960	0.192960																	-6.474121	
 1 	 20																																							1.783647	0.000000	0.000000	0.000000	0.000000	0.000000	3.371826	1.786321	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192950	0.192949																	-6.474121	
 1 	 21																																							1.783647	0.000000	0.000000	0.000000	0.000000	0.000000	3.371844	1.786303	0.000000																																																														-0.063140		-0.000000	-0.404532				-0.000000											-0.000000																																	-0.192939	0.192937																	-6.474121	
