Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	SFH_RENO	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1	2.046595																			0.000000										10.611879				0.000000	1.348602	0.716804	0.047363		1.719185								0.000000	-1.609949											-3.113610												-0.007882												-0.059360		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			0.000000	0.059360																																													-11.782622	
 1 	 2	2.293187																			0.000000										10.611879				0.000000	1.621575	0.949660	0.047363		1.719185								0.000000	-1.609949											-4.347046												-0.003156												-0.023764		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			0.000000	0.023764																																													-11.306333	
 1 	 3	1.032470																			-0.000000										10.611879				0.000000	2.296613	1.135639	0.047363		1.719185								0.000000	-1.609949											-4.347046												-0.001571												-0.011832		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			0.000000	0.011832																																													-10.908218	
 1 	 4	0.130026																			-0.000000										10.611879				0.000000	2.901627	1.155078	0.047359		1.719185								0.000000	-1.609949											-4.347046												-0.018933												-0.142585		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			0.000000	0.142585																																													-10.612861	
 1 	 5	0.436155																			-0.000000										10.611879				0.000000	2.754377	1.134219	0.047359		1.719185								0.000000	-1.609949											-4.347046												-0.050488												-0.380227		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			0.000000	0.380227																																													-10.719326	
 1 	 6	1.323646																			-0.000000										10.611879				0.000000	2.657556	1.104925	0.047359		1.719185								0.000000	-1.609949											-4.347046												-0.126221												-0.950567		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			0.000000	0.950567																																													-11.404969	
 1 	 7	3.619066																			-0.000000										10.611879				0.000000	2.531377	0.783366	0.047359		1.719185								0.000000	-1.609949											-4.347046												-0.244520												-1.841470		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			-0.277281	1.841470																																													-12.857071	
 1 	 8	3.869320																			-0.000000										10.611879				0.000000	3.225801	0.838024	0.047355		1.719185								0.000000	-1.609949											-4.347046												-0.212969												-1.603859		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			0.000000	1.603859																																													-14.165236	
 1 	 9	3.958624																			-0.000000										10.611879				0.004975	3.601388	0.986026	0.047355		1.719185								0.000000	-1.609949											-4.347046												-0.197194												-1.485058		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			0.000000	1.485058																																													-14.798879	
 1 	 10	1.868986																			0.000000										10.611879				1.220584	4.405626	1.157726	0.047355		1.719185								0.000000	-1.609949											-4.347046												-0.220857												-1.663269		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			0.000000	1.663269																																													-14.877123	
 1 	 11	0.000000																			0.000000										10.611879				4.913617	4.019890	1.140526	0.047355		1.719185								0.000000	-1.609949											-4.347046												-0.252407												-1.900871		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			-1.274162	1.900871																																													-14.992523	
 1 	 12	0.000000																			-0.000000										8.794466				9.167553	3.759630	1.729231	0.047353		1.719185								0.000000	-1.609949											-4.347046												-0.277649												-2.090964		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			-3.822917	2.090964																																													-15.183492	
 1 	 13	0.000000																			0.000000										7.190955				10.005729	3.508045	2.389467	0.047353		1.719185								0.000000	-1.609949											-4.347046												-0.252407												-1.900871		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			-3.858573	1.900871																																													-14.816393	
 1 	 14	0.000000																			-0.000000										9.217250				8.673925	2.514275	2.751404	0.047353		1.719185								0.000000	-1.609949											-4.347046												-0.255563												-1.924635		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			-3.854116	1.924635																																													-14.880354	
 1 	 15	0.000000																			-0.000000										10.611879				5.912559	1.942027	3.324466	0.047353		1.719185								0.000000	-1.609949											-4.347046												-0.287114												-2.162246		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			-2.546804	2.162246																																													-14.790190	
 1 	 16	0.000000																			0.000000										10.611879				2.370871	2.152489	4.603029	0.047349		1.719185								0.000000	-1.609949											-4.347046												-0.299735												-2.257293		-0.162609												0.054955	-0.077682													0.208971						0.000000	0.000000			-0.659386	2.257293																																													-14.612321	
