Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	SFH_RENO	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																											9.884189	0.062791										0.000000																																																									0.000000	3.920090	0.000000	0.024903																																					-13.891973	
 1 	 2																																																											13.799745	0.087665										0.000000																																																									0.000000	0.329609	0.000000	0.002094																																					-14.219113	
 1 	 3																																																											13.799745	0.087665										0.000000																																																									0.000000	0.735915	0.000000	0.004675																																					-14.628000	
 1 	 4																																																											13.799745	0.087665										0.000000																																																									0.000000	0.979709	0.000000	0.006224																																					-14.873343	
 1 	 5																																																											13.799745	0.087665										0.000000																																																									0.000000	1.142222	0.000000	0.007256																																					-15.036888	
 1 	 6																																																											13.799745	0.087665										0.000000																																																									0.000000	1.386015	0.000000	0.008805																																					-15.282230	
 1 	 7																																																											13.799745	0.087665										0.000000																																																									0.000000	1.467296	0.000000	0.009321																																					-15.364028	
 1 	 8																																																											13.799745	0.087665										0.000000																																																									0.000000	1.629809	0.000000	0.010354																																					-15.527573	
 1 	 9																																																											13.799745	0.087665										0.000000																																																									0.000000	1.629809	0.000000	0.010354																																					-15.527573	
 1 	 10																																																											13.799745	0.087665										0.000000																																																									0.000000	0.654683	0.000000	0.004159																																					-14.546252	
 1 	 11																																																											13.799745	0.087665										0.000000																																																									-0.483004	0.000000	-0.003068	0.000000																																					-13.401337	
 1 	 12																																																											13.799745	0.087665										0.000000																																																									-1.539460	0.000000	-0.009780	0.000000																																					-12.338170	
 1 	 13																																																											13.799745	0.087665										0.000000																																																									-2.270841	0.000000	-0.014426	0.000000																																					-11.602143	
 1 	 14																																																											13.799745	0.087665										0.000000																																																									-2.595867	0.000000	-0.016491	0.000000																																					-11.275053	
 1 	 15																																																											13.799745	0.087665										0.000000																																																									-2.514586	0.000000	-0.015974	0.000000																																					-11.356850	
 1 	 16																																																											13.799745	0.087665										0.000000																																																									-1.945767	0.000000	-0.012361	0.000000																																					-11.929283	
 1 	 17																																																											13.799745	0.087665										0.000000																																																									-1.133154	0.000000	-0.007199	0.000000																																					-12.747058	
 1 	 18																																																											13.799745	0.087665										0.000000																																																									-1.051873	0.000000	-0.006682	0.000000																																					-12.828855	
 1 	 19																																																											13.799745	0.087665										0.000000																																																									-0.889360	0.000000	-0.005650	0.000000																																					-12.992400	
 1 	 20																																																											13.799745	0.087665										0.000000																																																									-0.808079	0.000000	-0.005133	0.000000																																					-13.074198	
 1 	 21																																																											13.799745	0.087665										0.000000																																																									-0.645566	0.000000	-0.004101	0.000000																																					-13.237743	
 1 	 22																																																											13.799745	0.087665										0.000000																																																									-0.483004	0.000000	-0.003068	0.000000																																					-13.401337	
 1 	 23																																																											13.799745	0.087665										0.000000																																																									-0.401772	0.000000	-0.002552	0.000000																																					-13.483085	
 1 	 24																																																											13.799745	0.087665										0.000000																																																									-0.239211	0.000000	-0.001520	0.000000																																					-13.646680	
 2 	 1																																																											13.799745	0.087665										0.000000																																																									0.000000	1.711090	0.000000	0.010870																																					-15.609370	
 2 	 2																																																											13.799745	0.087665										0.000000																																																									0.000000	1.954884	0.000000	0.012419																																					-15.854713	
 2 	 3																																																											13.799745	0.087665										0.000000																																																									0.000000	2.198677	0.000000	0.013967																																					-16.100055	
 2 	 4																																																											13.799745	0.087665										0.000000																																																									0.000000	2.361190	0.000000	0.015000																																					-16.263600	
 2 	 5																																																											13.799745	0.087665										0.000000																																																									0.000000	2.523703	0.000000	0.016032																																					-16.427145	
 2 	 6																																																											13.799745	0.087665										0.000000																																																									0.000000	2.604984	0.000000	0.016549																																					-16.508943	
 2 	 7																																																											13.799745	0.087665										0.000000																																																									0.000000	2.686265	0.000000	0.017065																																					-16.590740	
 2 	 8																																																											13.799745	0.087665										0.000000																																																									0.000000	2.604984	0.000000	0.016549																																					-16.508943	
 2 	 9																																																											13.799745	0.087665										0.000000																																																									0.000000	1.954884	0.000000	0.012419																																					-15.854713	
 2 	 10																																																											13.799745	0.087665										0.000000																																																									0.000000	0.817196	0.000000	0.005191																																					-14.709798	
 2 	 11																																																											13.799745	0.087665										0.000000																																																									-0.564285	0.000000	-0.003585	0.000000																																					-13.319540	
 2 	 12																																																											13.799745	0.087665										0.000000																																																									-1.783254	0.000000	-0.011328	0.000000																																					-12.092828	
