Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	SFH_RENO	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																6.813718																																																	0.604504																																																		0.000000	1.111467																			-8.529689	
 1 	 2																																																6.813718																																																	0.604504																																																		0.000000	1.303597																			-8.721818	
 1 	 3																																																6.813718																																																	0.604504																																																		0.000000	1.543737																			-8.961959	
 1 	 4																																																6.813718																																																	0.604504																																																		0.000000	1.687827																			-9.106049	
 1 	 5																																																6.813718																																																	0.604504																																																		0.000000	1.783878																			-9.202099	
 1 	 6																																																6.813718																																																	0.604504																																																		0.000000	1.927968																			-9.346189	
 1 	 7																																																6.813718																																																	0.604504																																																		0.000000	1.976007																			-9.394229	
 1 	 8																																																6.813718																																																	0.604504																																																		0.000000	2.072058																			-9.490279	
 1 	 9																																																6.813718																																																	0.604504																																																		0.000000	2.072058																			-9.490279	
 1 	 10																																																6.813718																																																	0.604504																																																		0.000000	1.495727																			-8.913948	
 1 	 11																																																6.813718																																																	0.604504																																																		0.000000	0.823316																			-8.241538	
 1 	 12																																																6.813718																																																	0.604504																																																		0.000000	0.198917																			-7.617138	
 1 	 13																																																6.813718																																																	0.604504																																																		-0.233354	0.000000																			-7.184868	
 1 	 14																																																6.813718																																																	0.604504																																																		-0.425454	0.000000																			-6.992767	
 1 	 15																																																6.813718																																																	0.604504																																																		-0.377415	0.000000																			-7.040807	
 1 	 16																																																6.813718																																																	0.604504																																																		-0.041224	0.000000																			-7.376998	
 1 	 17																																																6.813718																																																	0.604504																																																		0.000000	0.439057																			-7.857278	
 1 	 18																																																6.813718																																																	0.604504																																																		0.000000	0.487097																			-7.905318	
 1 	 19																																																6.813718																																																	0.604504																																																		0.000000	0.583147																			-8.001368	
 1 	 20																																																6.813718																																																	0.604504																																																		0.000000	0.631187																			-8.049408	
 1 	 21																																																6.813718																																																	0.604504																																																		0.000000	0.727237																			-8.145458	
 1 	 22																																																6.813718																																																	0.604504																																																		0.000000	0.823316																			-8.241538	
 1 	 23																																																6.813718																																																	0.604504																																																		0.000000	0.871327																			-8.289548	
 1 	 24																																																6.813718																																																	0.604504																																																		0.000000	0.967406																			-8.385628	
 2 	 1																																																6.813718																																																	0.604504																																																		0.000000	2.120097																			-9.538319	
 2 	 2																																																6.813718																																																	0.604504																																																		0.000000	2.264187																			-9.682409	
 2 	 3																																																6.813718																																																	0.604504																																																		0.000000	2.408277																			-9.826499	
 2 	 4																																																6.813718																																																	0.604504																																																		0.000000	2.504328																			-9.922549	
 2 	 5																																																6.813718																																																	0.604504																																																		0.000000	2.600378																			-10.018600	
 2 	 6																																																6.813718																																																	0.604504																																																		0.000000	2.648418																			-10.066639	
 2 	 7																																																6.813718																																																	0.604504																																																		0.000000	2.696457																			-10.114679	
 2 	 8																																																6.813718																																																	0.604504																																																		0.000000	2.648418																			-10.066639	
 2 	 9																																																6.813718																																																	0.604504																																																		0.000000	2.264187																			-9.682409	
 2 	 10																																																6.813718																																																	0.604504																																																		0.000000	1.591777																			-9.009999	
 2 	 11																																																6.813718																																																	0.604504																																																		0.000000	0.775277																			-8.193498	
 2 	 12																																																6.813718																																																	0.604504																																																		0.000000	0.054826																			-7.473048	
 2 	 13																																																6.813718																																																	0.604504																																																		-0.569544	0.000000																			-6.848677	
 2 	 14																																																6.813718																																																	0.604504																																																		-0.905764	0.000000																			-6.512458	
 2 	 15																																																6.813718																																																	0.604504																																																		-1.001814	0.000000																			-6.416407	
 2 	 16																																																6.813718																																																	0.604504																																																		-0.905764	0.000000																			-6.512458	
 2 	 17																																																6.813718																																																	0.604504																																																		-0.521505	0.000000																			-6.896717	
 2 	 18																																																6.813718																																																	0.604504																																																		0.000000	0.006816																			-7.425037	
 2 	 19																																																6.813718																																																	0.604504																																																		0.000000	0.198917																			-7.617138	
 2 	 20																																																6.813718																																																	0.604504																																																		0.000000	0.439057																			-7.857278	
 2 	 21																																																6.813718																																																	0.604504																																																		0.000000	0.631187																			-8.049408	
 2 	 22																																																6.813718																																																	0.604504																																																		0.000000	0.823316																			-8.241538	
 2 	 23																																																6.813718																																																	0.604504																																																		0.000000	1.063457																			-8.481678	
 2 	 24																																																6.813718																																																	0.604504																																																		0.000000	1.255557																			-8.673779	
 3 	 1																																																6.813718																																																	0.604504																																																		0.000000	2.024047																			-9.442269	
